"Nom";"Inscrits";"Abst %";"Savary (PS)";"Juppé (RPR)"
"Hôtel-de-Ville A (Pey-Berland - Saint-Christoly)";1064;"33.83";"35.94";"64.06"
"Hôtel-de-Ville B (Hôtel-de-Ville - Gambetta)";1022;"39.33";"42.04";"57.96"
"Vieux-Bordeaux A (Saint-Pierre)";1125;"47.91";"59.44";"40.56"
"Vieux-Bordeaux B (Saint-Rémi - Sainte-Catherine)";895;"36.08";"52.79";"47.21"
"Malleret A (Delerme - Palais Gallien)";1069;"30.02";"35.92";"64.08"
"Malleret B (Saint-Seurin)";845;"34.43";"26.11";"73.89"
"Malleret C (Bas-Turenne)";945;"37.46";"35.79";"64.21"
"Malleret D (Triangle-d'Or)";851;"34.31";"26.80";"73.20"
"A.Barraud A (Capdeville)";1179;"28.66";"35.38";"64.62"
"A.Barraud B (Haut-Turenne)";917;"30.53";"37.66";"62.34"
"A.Barraud C (Renan)";868;"33.53";"35.01";"64.99"
"A.Barraud D (Sainte-Clotilde)";912;"27.52";"30.35";"69.65"
"A.Barraud E (Croix-Blanche - Wilson)";1122;"25.04";"26.08";"73.92"
"A.Barraud F (Mandel)";1012;"25.30";"31.28";"68.72"
"A.Barraud G (Lycée Camille-Jullian)";871;"25.03";"28.68";"71.32"
"Saint-Bruno A (Mériadeck)";1097;"32.91";"38.98";"61.02"
"Saint-Bruno B (Piscine Judaïque)";1053;"29.25";"43.98";"56.02"
"Saint-Bruno C (Brach)";944;"29.77";"46.48";"53.52"
"P.Bert A (Rousselle)";1100;"42.18";"62.13";"37.87"
"P.Bert B (Musée d'Aquitaine - Palais des Sports)";1001;"40.36";"48.42";"51.58"
"P.Bert C (Belfort - République)";770;"37.66";"51.55";"48.45"
"P.Bert D (Belfort - Libération)";1018;"37.82";"52.15";"47.85"
"A.Dupeux A (Mouneyra - Tondu)";1191;"30.48";"42.07";"57.93"
"A.Dupeux B (Tondu)";991;"27.65";"39.39";"60.61"
"A.Dupeux C (Xaintrailles)";1133;"29.66";"50.26";"49.74"
"A.Dupeux D (Leblanc)";843;"36.54";"47.49";"52.51"
"Saint-Augustin A (Clinique Saint-Augustin)";1053;"29.91";"48.22";"51.78"
"Saint-Augustin B (Cité des Pêcheurs)";955;"28.90";"41.55";"58.45"
"Saint-Augustin C (Eglise Saint-Augustin)";1200;"26.58";"44.27";"55.73"
"Saint-Augustin D (Chaban-Delmas - Pellegrin)";1051;"26.17";"39.89";"60.11"
"Loucheur A (Carayon-Latour)";1068;"29.12";"49.86";"50.14"
"Loucheur B (Loucheur)";1172;"28.33";"58.00";"42.00"
"Loucheur C (Charles Perrens)";1030;"29.51";"58.56";"41.44"
"Menuts A (Montaigne - Leyteire)";746;"42.49";"60.77";"39.23"
"Menuts B (Maucaillou - Sauvageau)";956;"38.91";"71.15";"28.85"
"Menuts C (Place Saint-Michel)";690;"45.22";"70.56";"29.44"
"Henri IV A (Pasteur)";894;"40.16";"45.36";"54.64"
"Sablières A (Millière - Victoire)";982;"35.54";"46.69";"53.31"
"Sablières B (Saint-Nicolas - Bergonié)";1037;"31.92";"54.45";"45.55"
"Sablières C (Nansouty-centre)";1040;"30.77";"50.81";"49.19"
"Sablières D (Barrière-de-Toulouse)";786;"29.90";"37.97";"62.03"
"Sablières E (Saint-Genès)";819;"24.91";"38.20";"61.80"
"J.Prévert A (François Magendie)";802;"22.57";"26.39";"73.61"
"J.Prévert B (Prévert)";993;"25.58";"30.47";"69.53"
"J.Prévert C (Roosevelt)";704;"31.96";"41.00";"59.00"
"Nuits A (Mauriac)";750;"27.33";"60.54";"39.46"
"Nuits B (Sainte-Marie)";742;"33.02";"59.92";"40.08"
"Nuits C (Stalingrad)";615;"32.03";"52.49";"47.51"
"Nuyens A (Bastide-nord)";538;"30.48";"69.12";"30.88"
"Thiers A (Thiers)";602;"32.89";"69.23";"30.77"
"Thiers B (Stade)";796;"26.88";"64.04";"35.96"
"Benauge A (Jules Simon)";953;"29.91";"56.89";"43.11"
"Benauge B (Jean Dauget)";860;"29.53";"62.39";"37.61"
"Benauge C (Benauge)";979;"32.18";"66.98";"33.02"
